NodeType,Env_obj,Env_obj_main,Target,Env_obj_number,Objective,Target species,Murray Lower Darling,Macquarie-Castlereagh,Murrumbidgee
Environmental objective,EF8,EF,Priority ecosystem function,8,NEED TO UPDATE ,NEED TO UPDATE ,1,0,0
Environmental objective,OS1,OS,Other species,1,Maintain species richness of flow-dependent frog communities,All flow-dependent frog species,1,1,1
Environmental objective,OS2,OS,Other species,2,Maintain successful26 breeding opportunities for flow-dependent frog species,All flow-dependent frog species,1,1,1
Environmental objective,OS3a,OS,Other species,3a,Maintain and increase number of wetland sites occupied by the threatened southern bell frog,southern bell frog,1,0,1
Environmental objective,OS3b,OS,Other species,3b,Maintain & increase number of wetland sites occupied by the threatened Sloane's froglet,Sloanes froglet,1,0,0
Environmental objective,OS4,OS,Other species,4,Maintain water-dependent species richness,water-dependent species,1,0,0
Environmental objective,NFunidentified,NF,Native fish,unidentified,NEED TO UPDATE ,NEED TO UPDATE ,1,,
Environmental objective,NVunidentified,NV,Native vegetation,unidentified,NEED TO UPDATE ,NEED TO UPDATE ,1,,
Environmental objective,WBunidentified,WB,Waterbird,unidentified,NEED TO UPDATE ,NEED TO UPDATE ,1,,
Environmental objective,EFunidentified,EF,Priority ecosystem function,unidentified,NEED TO UPDATE ,NEED TO UPDATE ,1,,
Environmental objective,OSunidentified,OS,Other species,unidentified,NEED TO UPDATE ,NEED TO UPDATE ,1,,
Environmental objective,NF8,NF,Native fish,8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),freshwater catfish (eel-tailed catfish),0,1,0
Environmental objective,NF8,NF,Native fish,8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),river blackfish,0,1,1
Environmental objective,NF9,NF,Native fish,9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Hyrtl’s tandan,0,1,0
Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Stocky galaxias,0,0,1
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Southern purple-spotted gudgeon,0,0,1
Environmental objective,NF3,NF,Native fish,3,Increase the distribution & abundance of short to moderate-lived floodplain specialist native fish species,Southern purple-spotted gudgeon,0,0,1
Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Southern purple-spotted gudgeon,0,0,1
