scenario,gauge,planningUnit,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),LF1_S,,3,50,75,3,0.5,3,5,0.5,0.8333333333333334,42.8,214,2,0,1825
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),LF2,,3,50,40,3,0.5,3,5,0.5,0.8333333333333334,25.4,127,4,0,1825
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB2,,1,17,55,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,84.0,84,3,0,1825
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB3_P,,1,17,40,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,26.0,26,4,0,1825
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB3_S,,1,17,40,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,26.0,26,4,0,1825
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB4_P,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB4_S,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB5,,0,0,10,0,0.0,0,0,0.0,0.0,0.0,0,10,0,1825
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),SF1_P,,6,100,100,8,1.3333333333333333,8,13,1.3333333333333333,2.1666666666666665,21.923076923076923,285,1,0,1825
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),SF1_S,,6,100,100,10,1.6666666666666667,10,15,1.6666666666666667,2.5,29.133333333333333,437,1,0,1825
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),SF2,,5,83,75,6,1.0,6,13,1.0,2.1666666666666665,21.923076923076923,285,2,0,1825
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),VF_a,,4,67,50,4,0.6666666666666666,4,7,0.6666666666666666,1.1666666666666667,260.42857142857144,1823,1,0,1825
base,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),VF_b,,4,67,100,4,0.6666666666666666,4,7,0.6666666666666666,1.1666666666666667,260.42857142857144,1823,1,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BF1_a,,4,67,50,4,0.6666666666666666,4,38,0.6666666666666666,6.333333333333333,43.473684210526315,1652,1,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BF1_b,,6,100,100,6,1.0,6,38,1.0,6.333333333333333,43.473684210526315,1652,1,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BF2_a,,4,67,50,4,0.6666666666666666,4,18,0.6666666666666666,3.0,57.27777777777778,1031,2,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BF2_b,,6,100,100,7,1.1666666666666667,7,18,1.1666666666666667,3.0,57.27777777777778,1031,2,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BK1_P,,2,33,70,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,70.5,141,0,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,BK1_S,,2,33,70,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,78.0,156,0,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,CF1_b,,0,0,5,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,CF1_c,,0,0,4,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
base,412038,Lachlan River - Lake Cargelligo to Willandra Weir,LF1_P,,2,33,75,2,0.3333333333333333,2,2,0.3333333333333333,0.3333333333333333,46.0,92,2,0,1825
