scenarioPath,scenario,gauge,planningUnit,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,CF,,1,17,0,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,26.0,26,0,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,LF1,,4,67,75,16,2.6666666666666665,16,27,2.6666666666666665,4.5,20.555555555555557,555,2,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,LF2,,3,50,40,11,1.8333333333333333,11,20,1.8333333333333333,3.3333333333333335,18.6,372,4,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,OB/WS3,,1,17,25,3,0.5,3,6,0.5,1.0,5.0,30,5,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,SF1,,6,100,1000,12,2.0,12,20,2.0,3.3333333333333335,82.4,1648,1,0,1825
hydrographs\up4\up4,up4,421001,Burrendong Dam to Baroona,SF2,,6,100,75,10,1.6666666666666667,10,36,1.6666666666666667,6.0,18.47222222222222,665,2,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_a,,4,67,50,4,0.6666666666666666,4,30,0.6666666666666666,5.0,50.36666666666667,1511,0.10137,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF1_b,,5,83,100,5,0.8333333333333334,5,30,0.8333333333333334,5.0,50.36666666666667,1511,0.10137,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF2_a,,4,67,50,4,0.6666666666666666,4,12,0.6666666666666666,2.0,76.0,912,2,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,BF2_b,,4,67,75,4,0.6666666666666666,4,12,0.6666666666666666,2.0,76.0,912,2,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,CF,,1,17,0,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,109.0,109,0,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,LF1,,4,67,75,17,2.8333333333333335,17,30,2.8333333333333335,5.0,17.633333333333333,529,2,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,LF2,,4,67,40,12,2.0,12,23,2.0,3.8333333333333335,13.08695652173913,301,4,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,OB/WL,,2,33,25,5,0.8333333333333334,5,7,0.8333333333333334,1.1666666666666667,14.428571428571429,101,10,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,OB/WM,,2,33,50,6,1.0,6,7,1.0,1.1666666666666667,15.714285714285714,110,5,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,OB/WS3,,2,33,25,7,1.1666666666666667,7,14,1.1666666666666667,2.3333333333333335,11.785714285714286,165,5,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,SF1,,5,83,1000,15,2.5,15,32,2.5,5.333333333333333,42.125,1348,1,0,1825
hydrographs\up4\up4,up4,421004,Baroona to Warren Weir,SF2,,5,83,75,11,1.8333333333333333,11,45,1.8333333333333333,7.5,12.755555555555556,574,2,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,BF1_a,,1,17,50,1,0.16666666666666666,1,13,0.16666666666666666,2.1666666666666665,32.23076923076923,419,1.167123,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,BF1_b,,6,100,96,13,2.1666666666666665,13,13,2.1666666666666665,2.1666666666666665,32.23076923076923,419,1.167123,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,BF2_a,,1,17,50,1,0.16666666666666666,1,9,0.16666666666666666,1.5,26.22222222222222,236,2,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,BF2_b,,3,50,75,3,0.5,3,9,0.5,1.5,26.22222222222222,236,2,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,CF_a,,6,100,50,9,1.5,9,10,1.5,1.6666666666666667,119.7,1197,0,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,CF_b,,1,17,5,1,0.16666666666666666,1,10,0.16666666666666666,1.6666666666666667,119.7,1197,0,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,CF_c,,6,100,97,10,1.6666666666666667,10,10,1.6666666666666667,1.6666666666666667,119.7,1197,0,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,LF1,,2,33,75,5,0.8333333333333334,5,11,0.8333333333333334,1.8333333333333333,19.363636363636363,213,2,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,LF2,,1,17,40,2,0.3333333333333333,2,6,0.3333333333333333,1.0,13.333333333333334,80,4,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,OB/WS3,,2,33,25,4,0.6666666666666666,4,6,0.6666666666666666,1.0,23.833333333333332,143,5,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,OB/WS4,,2,33,65,4,0.6666666666666666,4,6,0.6666666666666666,1.0,23.833333333333332,143,5,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,SF1,,3,50,1000,4,0.6666666666666666,4,13,0.6666666666666666,2.1666666666666665,28.46153846153846,370,1,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,SF2,,1,17,75,1,0.16666666666666666,1,10,0.16666666666666666,1.6666666666666667,10.8,108,2,0,1825
hydrographs\up4\up4,up4,421011,Marthaguy Creek,SF3,,2,33,50,2,0.3333333333333333,2,13,0.3333333333333333,2.1666666666666665,28.46153846153846,370,4,0,1825
