scenarioPath,scenario,gauge,planningUnit,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),BK1_S,,0,0,60,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),CF1_b,,0,0,5,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),CF1_c,,0,0,44,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),LF1_P,,1,17,75,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,40.0,40,2,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),LF1_S,,1,17,75,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,124.0,124,2,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),LF2,,1,17,40,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,84.0,84,4,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB2,,0,0,55,0,0.0,0,0,0.0,0.0,0.0,0,3,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB3_P,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB3_S,,0,0,40,0,0.0,0,0,0.0,0.0,0.0,0,4,0,1825
hydrographs\down4\down4,down4,412005,Western Lachlan Watercourse (inc. The Great Cumbung Swamp),OB4_P,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
