,NodeType,Env_obj,Env_obj_main,Target,Env_obj_number,Objective,Target.species,PU,link
422,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Mid.Murray.2,1
423,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Mid.Murray.3,1
521,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Mid.Murray.4,0
425,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Edward.Wakool.5,1
426,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Edward.Wakool.6,1
427,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Edward.Wakool.7,1
428,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Lower.Murray.8,1
429,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Lower.Murray.9,1
430,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Lower.Murray.10,1
431,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Lower.Murray.11,1
432,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Lower.Murray.12,1
433,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Lower.Murray.13,1
434,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Menindee.Lakes.14,1
435,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Menindee.Lakes.15,1
436,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Lower.Darling.River...Darling.Anabranch.16,1
437,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Lower.Darling.River...Darling.Anabranch.17,1
438,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Lower.Darling.River...Darling.Anabranch.18,1
439,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Lower.Darling.River...Darling.Anabranch.19,0
440,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Upper.Murray..Murray.source.to.Hume.dam..21,0
441,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Upper.Murray..Murray.source.to.Hume.dam..27,0
442,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Upper.Murray..Murray.source.to.Hume.dam..29,0
443,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Upper.Murray..Murray.source.to.Hume.dam..30,0
444,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Mid.Murray.and.Edward.Wakool.35,0
445,Environmental objective,NF4,NF,Native fish,4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,silver perch,Lower.Murray.Darling.37,0
1759,Environmental objective,EF4,EF,Priority ecosystem function,4,Support instream & floodplain productivity,Decompsition ,Mid.Murray.1,1
447,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Mid.Murray.2,1
448,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Mid.Murray.3,1
300,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,mountain galaxias (species complex),Mid.Murray.4,0
450,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Edward.Wakool.5,1
451,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Edward.Wakool.6,1
452,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Edward.Wakool.7,1
453,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Lower.Murray.8,1
454,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Lower.Murray.9,1
455,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Lower.Murray.10,1
456,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Lower.Murray.11,1
457,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Lower.Murray.12,1
458,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Lower.Murray.13,1
459,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Menindee.Lakes.14,1
460,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Menindee.Lakes.15,1
461,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Lower.Darling.River...Darling.Anabranch.16,1
462,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Lower.Darling.River...Darling.Anabranch.17,1
463,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Lower.Darling.River...Darling.Anabranch.18,1
464,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Lower.Darling.River...Darling.Anabranch.19,1
465,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Upper.Murray..Murray.source.to.Hume.dam..20,0
466,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Upper.Murray..Murray.source.to.Hume.dam..21,1
467,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Upper.Murray..Murray.source.to.Hume.dam..22,0
468,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Upper.Murray..Murray.source.to.Hume.dam..23,1
469,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Upper.Murray..Murray.source.to.Hume.dam..24,1
470,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Upper.Murray..Murray.source.to.Hume.dam..25,1
471,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Upper.Murray..Murray.source.to.Hume.dam..26,1
472,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Upper.Murray..Murray.source.to.Hume.dam..27,1
473,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Upper.Murray..Murray.source.to.Hume.dam..28,1
474,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Upper.Murray..Murray.source.to.Hume.dam..29,1
475,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Upper.Murray..Murray.source.to.Hume.dam..30,1
476,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Upper.Murray..Murray.source.to.Hume.dam..31,1
477,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Mid.Murray.and.Edward.Wakool.32,0
478,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Mid.Murray.and.Edward.Wakool.33,0
479,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Mid.Murray.and.Edward.Wakool.34,0
480,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Mid.Murray.and.Edward.Wakool.35,1
481,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Lower.Murray.Darling.37,1
1649,Environmental objective,EF3a,EF,Priority ecosystem function,3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Dispersal & migration,Mid.Murray.1,1
483,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Mid.Murray.2,1
484,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Mid.Murray.3,1
449,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray cod,Mid.Murray.4,1
486,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Edward.Wakool.5,1
487,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Edward.Wakool.6,0
488,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Edward.Wakool.7,0
489,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Lower.Murray.8,0
490,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Lower.Murray.9,0
491,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Lower.Murray.10,0
492,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Lower.Murray.11,0
493,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Lower.Murray.12,0
494,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Lower.Murray.13,0
495,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Menindee.Lakes.14,0
496,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Menindee.Lakes.15,0
497,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Lower.Darling.River...Darling.Anabranch.16,0
498,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Lower.Darling.River...Darling.Anabranch.17,0
499,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Lower.Darling.River...Darling.Anabranch.18,0
500,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Lower.Darling.River...Darling.Anabranch.19,0
501,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Upper.Murray..Murray.source.to.Hume.dam..20,0
502,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Upper.Murray..Murray.source.to.Hume.dam..21,0
503,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Upper.Murray..Murray.source.to.Hume.dam..22,0
504,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Upper.Murray..Murray.source.to.Hume.dam..23,0
505,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Upper.Murray..Murray.source.to.Hume.dam..24,0
506,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Upper.Murray..Murray.source.to.Hume.dam..25,0
507,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Upper.Murray..Murray.source.to.Hume.dam..26,0
508,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Upper.Murray..Murray.source.to.Hume.dam..27,0
509,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Upper.Murray..Murray.source.to.Hume.dam..28,1
510,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Upper.Murray..Murray.source.to.Hume.dam..29,0
511,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Upper.Murray..Murray.source.to.Hume.dam..30,1
512,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Upper.Murray..Murray.source.to.Hume.dam..31,0
513,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Mid.Murray.and.Edward.Wakool.32,0
514,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Mid.Murray.and.Edward.Wakool.33,0
515,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Mid.Murray.and.Edward.Wakool.34,0
516,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Mid.Murray.and.Edward.Wakool.35,0
517,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,trout cod,Lower.Murray.Darling.37,0
149,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Mid.Murray.1,1
519,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Mid.Murray.2,0
520,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Mid.Murray.3,0
840,Environmental objective,NF6,NF,Native fish,6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Murray cod,Mid.Murray.4,1
522,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Edward.Wakool.5,0
523,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Edward.Wakool.6,0
524,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Edward.Wakool.7,0
525,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Lower.Murray.8,0
526,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Lower.Murray.9,0
527,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Lower.Murray.10,0
528,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Lower.Murray.11,0
529,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Lower.Murray.12,0
530,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Lower.Murray.13,0
531,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Menindee.Lakes.14,0
532,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Menindee.Lakes.15,0
533,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Lower.Darling.River...Darling.Anabranch.16,0
534,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Lower.Darling.River...Darling.Anabranch.17,0
535,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Lower.Darling.River...Darling.Anabranch.18,0
536,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Lower.Darling.River...Darling.Anabranch.19,0
537,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Upper.Murray..Murray.source.to.Hume.dam..20,0
538,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Upper.Murray..Murray.source.to.Hume.dam..21,0
539,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Upper.Murray..Murray.source.to.Hume.dam..22,0
540,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Upper.Murray..Murray.source.to.Hume.dam..23,1
541,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Upper.Murray..Murray.source.to.Hume.dam..24,0
542,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Upper.Murray..Murray.source.to.Hume.dam..25,0
543,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Upper.Murray..Murray.source.to.Hume.dam..26,1
544,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Upper.Murray..Murray.source.to.Hume.dam..27,0
545,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Upper.Murray..Murray.source.to.Hume.dam..28,0
546,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Upper.Murray..Murray.source.to.Hume.dam..29,0
547,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Upper.Murray..Murray.source.to.Hume.dam..30,0
548,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Upper.Murray..Murray.source.to.Hume.dam..31,0
549,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Mid.Murray.and.Edward.Wakool.32,0
550,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Mid.Murray.and.Edward.Wakool.33,0
551,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Mid.Murray.and.Edward.Wakool.34,0
552,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Mid.Murray.and.Edward.Wakool.35,0
553,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Macquarie perch,Lower.Murray.Darling.37,0
1234,Environmental objective,NV2b,NV,Native vegetation,2b,Maintain or increase the extent & maintain the viability of non-woody vegetation communities occurring in wetlands & on floodplains,"Ephemeral understorey vegetation within forests, woodland & open floodplain areas",Mid.Murray.1,1
555,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Mid.Murray.2,1
556,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Mid.Murray.3,1
665,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Murray crayfish,Mid.Murray.4,0
558,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Edward.Wakool.5,0
559,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Edward.Wakool.6,0
560,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Edward.Wakool.7,0
561,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Lower.Murray.8,0
562,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Lower.Murray.9,0
563,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Lower.Murray.10,0
564,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Lower.Murray.11,0
565,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Lower.Murray.12,0
566,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Lower.Murray.13,0
567,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Menindee.Lakes.14,0
568,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Menindee.Lakes.15,0
569,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Lower.Darling.River...Darling.Anabranch.16,0
570,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Lower.Darling.River...Darling.Anabranch.17,0
571,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Lower.Darling.River...Darling.Anabranch.18,0
572,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Lower.Darling.River...Darling.Anabranch.19,0
573,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Upper.Murray..Murray.source.to.Hume.dam..20,1
574,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Upper.Murray..Murray.source.to.Hume.dam..21,1
575,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Upper.Murray..Murray.source.to.Hume.dam..22,0
576,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Upper.Murray..Murray.source.to.Hume.dam..23,1
577,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Upper.Murray..Murray.source.to.Hume.dam..24,0
578,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Upper.Murray..Murray.source.to.Hume.dam..25,1
579,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Upper.Murray..Murray.source.to.Hume.dam..26,1
580,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Upper.Murray..Murray.source.to.Hume.dam..27,1
581,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Upper.Murray..Murray.source.to.Hume.dam..28,1
582,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Upper.Murray..Murray.source.to.Hume.dam..29,1
583,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Upper.Murray..Murray.source.to.Hume.dam..30,1
584,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Upper.Murray..Murray.source.to.Hume.dam..31,1
585,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Mid.Murray.and.Edward.Wakool.32,1
586,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Mid.Murray.and.Edward.Wakool.33,1
587,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Mid.Murray.and.Edward.Wakool.34,1
588,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Mid.Murray.and.Edward.Wakool.35,0
589,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,river blackfish,Lower.Murray.Darling.37,0
112,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,flat-headed gudgeon,Mid.Murray.1,1
591,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,two-spined blackfish,Mid.Murray.2,0
592,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,two-spined blackfish,Mid.Murray.3,0
899,Environmental objective,NF7,NF,Native fish,7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Murray hardyhead,Mid.Murray.4,0
594,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,two-spined blackfish,Edward.Wakool.5,0
595,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,two-spined blackfish,Edward.Wakool.6,0
596,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,two-spined blackfish,Edward.Wakool.7,0
597,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,two-spined blackfish,Lower.Murray.8,0
598,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,two-spined blackfish,Lower.Murray.9,0
599,Environmental objective,NF5,NF,Native fish,5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,two-spined blackfish,Lower.Murray.10,0
