,NodeType,Env_obj,Env_obj_main,Target,Env_obj_number,Objective,Target.species,PU,link
50,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Lower.Murray.13,1
51,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Menindee.Lakes.14,1
52,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Menindee.Lakes.15,1
53,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Lower.Darling.River...Darling.Anabranch.16,1
54,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Lower.Darling.River...Darling.Anabranch.17,1
55,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Lower.Darling.River...Darling.Anabranch.18,1
56,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Lower.Darling.River...Darling.Anabranch.19,1
57,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Upper.Murray..Murray.source.to.Hume.dam..20,1
58,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Upper.Murray..Murray.source.to.Hume.dam..21,1
59,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Upper.Murray..Murray.source.to.Hume.dam..22,1
60,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Upper.Murray..Murray.source.to.Hume.dam..23,1
61,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Upper.Murray..Murray.source.to.Hume.dam..24,1
62,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Upper.Murray..Murray.source.to.Hume.dam..25,1
63,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Upper.Murray..Murray.source.to.Hume.dam..26,1
64,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Upper.Murray..Murray.source.to.Hume.dam..27,1
65,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Upper.Murray..Murray.source.to.Hume.dam..28,1
66,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,Australian smelt,Upper.Murray..Murray.source.to.Hume.dam..29,1
